team_id,team,runs_factor,hr_factor,hits_factor
110,BAL,0.97,0.95,0.98
111,BOS,1.03,1.02,1.05
133,OAK,0.97,0.95,0.98
136,SEA,0.95,0.92,0.96
108,LAA,0.99,1.00,0.99
117,HOU,1.00,0.99,1.00
140,TEX,1.05,1.10,1.03
141,TOR,1.00,1.00,1.00
139,TBR,0.95,0.93,0.96
142,MIN,1.00,1.02,0.99
145,CWS,1.02,1.04,1.01
116,DET,0.96,0.95,0.97
118,KCR,0.97,0.94,0.98
114,CLE,0.94,0.92,0.95
147,NYY,1.02,1.08,1.01
144,ATL,1.01,1.02,1.00
146,MIA,0.94,0.91,0.95
121,NYM,0.98,0.97,0.99
143,PHI,1.06,1.07,1.04
120,WSN,1.00,0.99,1.00
112,CHC,1.04,1.06,1.03
113,CIN,1.05,1.08,1.04
158,MIL,0.98,0.97,0.99
134,PIT,0.96,0.95,0.97
138,STL,0.98,0.96,0.99
109,ARI,1.03,1.05,1.02
115,COL,1.15,1.17,1.13
119,LAD,0.97,0.98,0.97
135,SDP,0.93,0.91,0.94
137,SFG,0.92,0.90,0.93
